symbol,contract_label,close_date,close_price,trade_price,pre_settlement,volume,position,spread_vs_near
SC2604,2026-04,2026-03-20,767.1,795.0,773.7,240.0,3860.0,0.0
SC2605,2026-05,2026-03-20,773.6,802.8,776.4,73210.0,54574.0,6.5
SC2606,2026-06,2026-03-20,760.1,787.7,759.7,15582.0,24643.0,-7.0
SC2607,2026-07,2026-03-20,740.9,765.3,738.8,2738.0,11325.0,-26.200000000000045
SC2608,2026-08,2026-03-20,720.8,743.2,722.9,729.0,3803.0,-46.30000000000007
SC2609,2026-09,2026-03-20,707.5,722.4,704.5,580.0,4371.0,-59.60000000000002
SC2610,2026-10,2026-03-20,691.0,713.2,686.6,125.0,2222.0,-76.10000000000002
SC2611,2026-11,2026-03-20,679.8,700.4,672.3,49.0,1025.0,-87.30000000000007
SC2612,2026-12,2026-03-20,671.1,689.0,666.2,331.0,3542.0,-96.0
SC2701,2027-01,2026-03-20,663.9,682.0,656.1,26.0,240.0,-103.20000000000005
SC2702,2027-02,2026-03-20,654.6,665.7,653.3,18.0,175.0,-112.5
SC2703,2027-03,2026-03-20,652.1,665.0,648.8,13.0,97.0,-115.0
SC2706,2027-06,2026-03-20,640.0,640.0,649.1,9.0,64.0,-127.10000000000002
SC2709,2027-09,2026-03-20,626.8,626.8,630.2,13.0,73.0,-140.30000000000007
SC2712,2027-12,2026-03-20,619.4,637.0,617.7,11.0,154.0,-147.70000000000005
SC2806,2028-06,2026-03-20,602.8,602.8,610.9,3.0,46.0,-164.30000000000007
SC2809,2028-09,2026-03-20,600.0,600.0,602.6,1.0,69.0,-167.10000000000002
SC2812,2028-12,2026-03-20,591.3,591.3,595.4,5.0,43.0,-175.80000000000007
